Username,Comment
@ranjitsingha7512,Darun dada darun❤❤❤❤❤❤❤❤
@123suggest,Message karne mein bhi dar lag raha hai pata nahin palat ke kya jawab mil jaaye.😂😂😂
@death_news_07,Sasta arijit singh
@Ur_fav_shubh,🤣🤣🤣🤣🤣🤣🤣
@Ur.critianofan07,6:33 kayanat ko ghanta pharak nahi padata😅😂😂
@LITERALLY99,Bahut badhiya hai bhai maja aa gaya 😂
@YOUTUBERIRSHAAD,Super duper comedy Ravi 😊
@g.m.gamingyt7350,Bainsiya jarrur ayegi
@abhijeetsonne5726,🔥🔥
@Riyank1112,You are too good😂 jab bhi depressed hoti hu apko sun leti hu😅
@shashankjadhav7709,😂😂😂
@GoldySharma-jq5gc,Gupta ji ek dum must..... Majja aa gya... Aao kabhi himanchal kullu ghumne....
@nachiketakumar4744,Maal fukna hai mujhe bhi 😂😂
@nachiketakumar4744,Mai popla nhi hu babe 😂😂
@durgeshmeena2487,Kaan me earbuds lga kr jokes maar rhe ho😅
@Pitterdanc,standup comedian : hm  audience :🤣🤣🤣
@Reena_Rastogi,"whole video is soo good😅, but my favourite: office part , that was completely relatable to my office😂😂"
@amansingh-xs7vm,Jai 72
@tejveerchaudhary4422,Pure content i love this performance ❤
@Shuaibhere-bv6ld,Going thru the comments section while laughing my brains out 😂
@eldorado3735,"One of the best stand up comedian ❤, love you man"
@riteshpattanayak9850,😂😂😊
@Mr.benjamin_netanyahu,Bhai😂😂😂😂😂😂😂😂😂😂😂😂
@Pk99562,Someone please play this 20min video in movie theatre m sure ppl will pay  for this❤
@yogeshchouksey3017,Arijit Singh 2.0 😂😂
@tfiaktekwa3117,15.6 😂😂
@HuttAldrich-b5j,Pamela Course
@emewaye,16:05 16:09 Bhula ki jana mein kon 😂
@proyoutuber69,😂😂😂😂
@reginaldsyiem-mq5xl,"Like it but don't advertise  weed,,, drugs or alcohol to our next generation.... It is a joke but don't promote wrong ❌❌❌advertising.... Tell about the truth the present we like it👍👍👍"
@bbss9295,love you bro.
@dr.surendrabaghelshardaent4424,Shandaar 👌👌👌🎂
@vijaybhatt7878,Bhaiya ji Mai dehradun se apka ana rishikesh aur pahdo me acha lagta he mussoorie me blocks bannne
@FactzDaddy,Arijit Singh lite 😂
@WilliamLee39Rodriguez-p2j,Clay Tunnel
@avi0892,No kukur was hurt in this video.
@ArslanSubhani-ui7tx,Best comedian. 🥰🥰🥰🥰😂😂😂😂😂😂😂. Look like Arijit Singh ❤
@robinsarkar,Bahut bahut badhiya. 50 baar sun liya aur pehli baar jaisa hasa … uncontrolled laughter! Keep it up Ravi !!!
@NationsFreeVoice,Superb Ravi bhai
@shamshadalamkhan9494,Msssttt😂😂😂😂
@snigdhamishra3608,Masterpiece
@PrinceSingh-db5bz,❤😂😂
@dipakkumarlimbu5331,Jhakkas 😂😂
@shine1528,Haan bade bhai jab maarte hai tab bade nahi hote jab hum maare to badtamiz hojate hai ya phir humko console kardiya jaata hai ki tu acha bacha hai mera nai lad yehi bol bolke kaat diya hamara aur bada bhai maarta reh gaya hum khaate rehgaye
@mayukhsamajpati1865,If Arijit Singh did comedy 🤣🤣
@amnakhan9225,He looks like arijit singh😮
@MNSHKIRAR,Tere Pappu madam nahin thi isliye tere Ko chhod kar Chali gai
@MNSHKIRAR,Ab sale tu Puri baat hi nahin kar raha hai to baat to Puri karna Tera saman Gaya ki nahin Gaya
@MNSHKIRAR,Han bro same bro Jaise main record se nikala na to Mera bhi koi Mal lekar nahin le ja raha tha to maine usse boli ki rakh Lo rakh Lo rakh Lo to koi rakh nahin raha hai
@MNSHKIRAR,A humble apan banate na bro Bata kaise banana hai Mal
@usedlesssing,nice comedy Arijit sir
@mohinibhagwat1824,Gupta ji itna dimag laate kaha se ho yaar 😂😂
@nutanbhoyar748,Superb yr love u sir
@NehaSharma-ep1uy,Really so funny 🤣
@Aarya.78,Kon - Kon Bihar se Hai Like kro
@shrutiwason2066,Love u
@angeshdeshmukh1111,एक नंबर भईया 2 साल से इतना नही हसा था मैं!
@jagbeersingh8896,Very very good&best
@Junaidkhan-dd5iz,Amazing
@anujmediaworks,Amazing.. The best comedian 😅
@subashchandrabosemurugaiya5399,aap mayank nahi ban gaye ?
@shivamshukla290,कहा रह गई भूरी 😅😅😅
@Nishansingh-uf1wq,mast
@somnathpanade8553,Ravi Bhai...hans hansake pet dukh Raha hain😂😂😂Nice content...Love from Maharashtra
@SanjeetGupta-u2u,बहुत अच्छा है
@novelafilmsprivatelimitedIndia,Great laughter
@rijuwansaikia7800,Assam meh aao vai... Big fan 🎉❤
@sumitnayaknayak9108,Pure comedy
@rijulayek6636,Sir we want your full vlog videos..
@gamefight1551,Bahut badhiya bhaiya apki vdo dekh kr need aane lgti h😅
@tajveerrana3370,Amazing 🤩
@abhaymishra1833,Amazing brother amazing 😂😂
@mohitbanyal,Zeher banda hai bhai
@Goodlypiru,"Sir aap bhul gye kya, aapka ek YouTube channel v hai 🙂. New video kab ayegi sir ❤"
@ankitsharma7153,😂
@RationalProMax,"Ravi Gupta, Arijit Singh Of Comedy"
@silkyshruti9460,Bhaiiiii bohot hasa hu sacchi m
@RiyajAhamad-fh1wp,"Kon kon reels dekh kar aaya hai yaha.........🙋🙋🙋....,........>>>>>>"
@NavdeepKaur-no2bn,Good
@ArmanKhan-kh4kz,This called Real standup comedy
@SamsonDarang,6th time dek Rahahu . Phir bhi hasi bandh nahi horahi...😂😂😂 .. Jahapana tussi 🫵great Ho..👍 and great shorts too..😄😄. Eagerly waiting for next video
@anandrathore5906,Incredible bro😂😂
@cashcowislive,Bro speaks like Pankaj thripathi
@pranjulpal4026,Bhai bais aa gyee thi yaa nhi 😂😂😂
@Feel_It.,12:54 bhai relatable 😂
@Feel_It.,"Bhai very basics jokes but delivering style is incredible.
Love from Pakistan 🇵🇰"
@brijrajpandey3924,Nice video best comedy 😂😂
@OfficialBH.7,😂😂😂😅😅
@udont9me7,Sir Ek baar game bjja do koi option nhi hai apke pass...
@nitink8638,He is epic 😅
@GenericTechnology,Ultimate brother loved it❤❤❤❤
@जयमाधव,Arijit Singh with roast version
@MrSurajwebworld,acha tha video bhai
@shubhamrajak2536,Good
@rishitaduttaroy8531,"There were those who made us think only Smart English and a lot of gaalis make content and make people laugh.
Then came Ravi Gupta, and the rest is History.."
@AdamSantiago-c2i,Blanda Harbors
@RoadtripWaleBaba,Brilliant
@Rishabh28fev123,He looks like Arijit singh 😊
@Sonaligautam-bx3hi,Ap ki video's best h❤
@kunalkukwas6119,This is called lack of content
@sachinkochhar3576,Best comedy ever experienced
@faheemiqbalwani,Wow. Awesome. No vulgarity or offensive words. Hats off sir❤
@madhavmoghe2489,खूपच  सुंदर.... 👌
